Comment,Designator,Footprint,JLCPCB Part #
1.5mOhm,R22,WSKW0612,C1517424
"10kOhm

Substitute +- 10%","R11,R13,R16,R17,R39,R40",0805,C84376
"Resistor 100kOhm

Substitute +- 20%","R8,R36,R37,R38,R62,R63,R77,R78,R92,R93,R94",0805,C96346
"Resistor 33Ohm

Substitute 33-50 Ohm","R1,R7,R12,R18,R19,R20,R21,R23,R24,R25,R26,R28,R29,R30,R31,R33,R42,R43,R44,R45,R49,R50,R51,R52,R54,R55,R57,R59,R65,R66,R67,R69,R72,R74,R80,R81,R82,R84,R87,R89",0805,C17634
INA228,U6,VSSOP-10_3x3mm_P0.5mm,C2887910
ISO7762DBQ,U10,SSOP-16_3.9x4.9mm_P0.635mm,C2868090
Ferrite bead / inductor 5A+ continuous,"L1,L3,L4,L5",1210,C2045365
"Ferrite bead, ~1A","FB1,FB2",1210,C90321
"MLCC, 100nF, 100V

Substitute 100nF to 150nF","C2,C10,C14,C28,C32,C36",1206,C1945
"MLCC, 100nF, 16V

Substitute 100nF to 150nF","C4,C6,C8,C9,C12,C13,C20,C21,C22,C25,C26,C27,C31,C35",0805,C520082
