Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,258.775200,-108.153200,90.000000,bottom
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,259.000000,-116.200000,90.000000,bottom
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,252.780800,-129.133600,0.000000,bottom
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,258.673600,-101.926300,90.000000,bottom
C9,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,249.350000,-56.950000,-90.000000,bottom
C10,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,251.950000,-53.300000,180.000000,bottom
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,249.377200,-121.818400,180.000000,bottom
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,218.219000,-62.750000,180.000000,bottom
C14,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,203.131500,-62.950000,0.000000,bottom
C20,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,213.766400,-91.236800,-90.000000,bottom
C21,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,213.766400,-87.477600,-90.000000,bottom
C22,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.278000,-91.186000,0.000000,bottom
C25,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,200.068000,-125.326618,0.000000,bottom
C26,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,195.415900,-117.452618,180.000000,bottom
C27,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,242.269000,-62.750000,180.000000,bottom
C28,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,227.069000,-63.050000,0.000000,bottom
C31,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,194.617000,-62.738000,180.000000,bottom
C32,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,179.631000,-62.992000,0.000000,bottom
C35,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.868000,-62.992000,180.000000,bottom
C36,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,155.628000,-63.119000,0.000000,bottom
FB1,FB,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,254.711200,-123.393200,180.000000,bottom
FB2,FB,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,199.306000,-118.925818,90.000000,bottom
L1,ferrite,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,198.819000,-58.950000,90.000000,bottom
